"name","rating","reviews_count","description","image","city"
"Carmel Art Association","4.8","(37)","Art museum, painting, and art","","Carmel"
"Carmel Beach","4.9","(25)","","","Carmel"
"Palo Corona Regional Park","4.7","(107)","Park and hiking","","Carmel"
"Pebble Beach","","","Golf, beach, country club, and wine","","Carmel"
"Sunset Center","4.7","(243)","Intimate venue for live entertainment","","Carmel"
"Devendorf Park","4.3","(18)","Park","","Carmel"
"Mission Trail Park","4.6","(246)","Nature preserve with 5 miles of trails","","Carmel"
"Clinton Walker House - Frank Lloyd Wright","4.6","(538)","Frank lloyd wright and architecture","","Carmel"
"Big Sur","","","Rugged coast, parks & Pfeiffer beach","","Carmel"
"China Cove","4.8","(344)","Beach","","Carmel"
"Galante Vineyards Tasting Room","4.6","(80)","Local wines amid warm, Western decor","","Carmel"
"Scheid Vineyards Tasting Room","4.6","(74)","Vineyard, wine tasting, winery, and wine","","Carmel"
"Center For Photographic Art","5.0","(25)","Fine-art photography and art","","Carmel"
"Carmelite Monastery","4.8","(90)","Monastery","","Carmel"
"Weston Gallery Inc","4.6","(30)","Revered spot for fine photography","","Carmel"
"California 1","","","Beach, cliff, lighthouse, surfing, and cycling","","Carmel"
"Folktale Winery & Vineyards","4.6","(332)","Winery, vineyard, sparkling wine, wine, and wine tasting","","Carmel"
"De Tierra Vineyards","4.8","(45)","Wine tasting, vineyard, pinot noir, merlot, and wine","","Carmel"
"Wrath Wines- Carmel Tasting Room","4.7","(29)","Wine tasting, vineyard, pinot noir, wine, and winery","","Carmel"
"New Masters Gallery","4.7","(13)","Painting, art, and landscape painting","","Carmel"
"Asilomar State Beach","4.8","(2,703)","Scenic beach area with rocky coves","","Carmel"
"Carmel Walks","4.9","(45)","","","Carmel"
"Blair Estate Tasting Room","4.8","(25)","Wine and wine tasting","","Carmel"
"PacRep at the Forest Theater, Carmel","4.8","(41)","Open-air venue in a woodland setting","","Carmel"
"Jones & Terwilliger Galleries","4.9","(10)","Art gallery, landscape painting, painting, fine-art photography, and art","","Carmel"
"Winfield Gallery","5.0","(9)","Still life and art","","Carmel"
"Gallery-by-the-Sea Carmel","5.0","(10)","Art gallery, art, and art museum","","Carmel"
"Holman Ranch","4.6","(61)","Vineyard, pinot noir, winery, wine tasting, and engagement","","Carmel"
"Gallery Sur","4.7","(6)","Art","","Carmel"
"Zantman Art Galleries","5.0","(35)","Art and painting","","Carmel"
"Trotter Galleries","5.0","(1)","Art","","Carmel"
"Church of the Wayfarer","4.6","(39)","Church and history","","Carmel"
"Nancy Dodds Gallery","5.0","(10)","Art and art museum","","Carmel"
"Carl Cherry Center for the Arts","4.7","(23)","Art, theatre, and architecture","","Carmel"
"Robinson Jeffers Tor House Foundation","4.7","(73)","","","Carmel"
"Carmel Fine Art Gallery","5.0","(2)","Art","","Carmel"
"Photography West Gallery","4.4","(9)","Fine-art photography and art","","Carmel"
"Carmel Heritage Society","4.8","(10)","Preserved historic house exhibits","","Carmel"
"Bernardus Winery","4.1","(49)","Winery, pinot noir, vineyard, chardonnay, and wine","","Carmel"
"Gallery Elite","5.0","(3)","Art","","Carmel"
"Scenic Road","","","Waterfront driving route & walkway","","Carmel"
"Howard Portnoy Gallery","5.0","(3)","Art","","Carmel"
"Monastery Beach","4.6","(770)","Beach","","Carmel"
